name,medium,country,language,audience_size,website,best_contact_email,best_contact_role,why_target,notes,handle
Brentford Bench Press,podcast,UK,en,~30k weekly downloads,https://www.bbc.co.uk/sounds/,(via Independent),Producer,"Brentford fan pod; Premier League niche",,@BeesPressClub
Hand of Pod,podcast,Argentina,en,~50k weekly downloads,https://handofpod.com/,info@handofpod.com,Sam Kelly,"English-language Argentine football pod; bridge to global audience","Estimate from publisher; independent; ad + Patreon",@handofpod
Buenos Aires Herald Sport,traditional-newspaper,Argentina,en,~3M monthly visits,https://buenosairesherald.com/sport,sport@buenosairesherald.com,Sport Editor,"English-language Argentine paper relaunch","SimilarWeb AR; independent; subscription",@BuenosAiresHRLD
Joel Richards,social-twitter,Argentina,en,~80k X followers,https://x.com/joelrichards,(via personal),Freelance,"English-language Argentine football journalist",,@joelrichards
Tim Stillman Arseblog,podcast,UK,en,~150k weekly downloads,https://arseblog.com/,info@arseblog.com,Editor,"Long-running Arsenal blog + pod; one of Premier League's biggest single-club indies","Estimate from publisher; independent; ad + Patreon + subscription",@arseblog
Joey D'Urso,social-twitter,UK,en,~80k X followers,https://x.com/joeydurso,j.durso@theathletic.com,Investigative Reporter,"Athletic investigative football journalist","Follower count from X; The Athletic; subscription",@joeydurso
Anti Football Podcast,podcast,UK,en,~30k weekly downloads,https://www.spotify.com/,(via Spotify),Production Office,"Comedy-football pod; younger audience",,@AntiFootballPod
The Anfield Wrap,podcast,UK,en,~150k weekly downloads,https://theanfieldwrap.com/,info@theanfieldwrap.com,Production Office,"Liverpool fan pod and media network; subscription model","Estimate from publisher; independent; subscription + ad",@TheAnfieldWrap
Blue Moon Podcast,podcast,UK,en,~50k weekly downloads,https://www.bluemoonmcfc.co.uk/,(via Bluemoon),Production Office,"Man City fan pod",,@bluemoonmcfc
Toffee Talk,podcast,UK,en,~30k weekly downloads,https://toffeetalk.com/,info@toffeetalk.com,Production Office,"Everton fan pod and site",,@ToffeeTalk
Goonertalk,youtube,UK,en,~70k YT subs,https://www.youtube.com/@Goonertalk,(via YouTube About page),Channel Owner,"Arsenal-focused podcast and YouTube","Verified YT subs; independent; ad",@Goonertalk
GiveMeSport Football,social-twitter,UK,en,~3.5M X followers,https://x.com/GiveMeSport,info@givemesport.com,Editorial Office,"Global football news brand; massive distribution","Follower count from X; Bet Connect Ltd; ad + affiliate",@GiveMeSport
The Final Third,podcast,UK,en,~30k weekly downloads,https://thefinalthird.substack.com/,(via Substack profile),Producer,"Womens football pod","Estimate from Substack; subscription",@FinalThirdPod
She Kicks,traditional-newspaper,UK,en,~500k monthly visits,https://shekicks.net/,info@shekicks.net,Editor,"Long-running women's football magazine","Estimate from publisher; independent; subscription + ad",@SheKicksMag
Football News (FN),social-instagram,UK,en,~5M IG followers,https://www.footballnews.com/,info@footballnews.com,Brand Partnerships,"Football news IG aggregator","Follower count from IG; independent; ad + brand",@footballnews
B/R Football,social-twitter,USA,en,~8M X followers,https://x.com/brfootball,(via Bleacher Report press),Editorial Office,"Bleacher Report's football arm; massive US distribution","Follower count from X; Warner Bros Discovery; ad",@brfootball
SI Soccer,social-twitter,USA,en,~700k X followers,https://x.com/si_soccer,(via SI),Editorial Office,"SI's soccer X account","Follower count from X; Authentic Brands; ad",@si_soccer
ESPN FC IG,social-instagram,USA,en,~14M IG followers,https://www.instagram.com/espnfc,(via ESPN press),Brand Partnerships,"ESPN FC's global IG account","Follower count from IG; Disney; ad + subscription",@espnfc
Footy Headlines,social-instagram,UK,en,~1.5M IG followers,https://www.footyheadlines.com/,(via site),Editor,"Football kit + leaks IG and site","Follower count from IG; independent; ad + commerce",@footyheadlines
SPORTbible,social-instagram,UK,en,~9M IG followers,https://www.sportbible.com/,info@sportbible.com,Editorial Office,"LADbible's sport arm; mainstream younger audience","Follower count from IG; LBG Media; ad + brand",@sportbible
GOAL FR,social-twitter,France,fr,~600k X followers,https://x.com/GoalFr,(via Footballco),Editor,"Goal.com French edition X","Follower count from X; Footballco; ad",@GoalFr
GOAL DE,social-twitter,Germany,de,~400k X followers,https://x.com/GoalDeutsch,(via Footballco),Editor,"Goal.com German edition X","Follower count from X; Footballco; ad",@GoalDeutsch
GOAL Brasil,social-twitter,Brazil,pt-BR,~2M X followers,https://x.com/goalbr,(via Footballco),Editor,"Goal.com Brazilian X","Follower count from X; Footballco; ad",@goalbr
ESPN Brasil YouTube,youtube,Brazil,pt-BR,~3M YT subs,https://www.youtube.com/@ESPNBrasil,(via ESPN BR press),Brand Partnerships,"ESPN BR football YouTube","Verified YT subs; Disney; ad + subscription",@ESPNBrasil
Bola Pesada Newsletter,newsletter,Brazil,pt-BR,~20k subscribers,https://www.youtube.com/@BolaPesada,(via YouTube About page),Producer,"Brazilian football show newsletter","Estimate from publisher; independent; free",@BolaPesada
Cazefutebol Casemiro,youtube,Brazil,pt-BR,~3M YT subs,https://www.youtube.com/@Cazefutebol,contato@cazefutebol.com.br,Brand Partnerships,"Brazil's biggest reaction and live football show","Verified YT subs; Casimito media; ad + brand",@Cazefutebol
TNT Sports Argentina,traditional-broadcast,Argentina,es,~10M monthly digital reach,https://www.tntsports.com.ar/,(via TNT press),Programming,"WBD Argentine football arm","Comscore AR; WBD; subscription + ad",@TNTSportsAR
TNT Sports Brasil YouTube,youtube,Brazil,pt-BR,~2M YT subs,https://www.youtube.com/@tntsportsbr,(via TNT press),Brand Partnerships,"TNT Sports BR YouTube","Verified YT subs; WBD; subscription + ad",@tntsportsbr
Globo Esporte Cazefutebol Mauro Cezar Newsletter,newsletter,Brazil,pt-BR,~50k subscribers,https://ge.globo.com/blogs/mauro-cezar,(via Globo press),Producer,"Mauro Cezar Pereira blog newsletter","Estimate from Globo; subscription + ad",@globoesportecom
F90 Vignolo IG,social-instagram,Argentina,es,~1M IG followers,https://www.instagram.com/elpolaco,(via ESPN AR press),Host,"Sebastian Vignolo's IG","Follower count from IG; Disney",@elpolaco
Closs Pasion,social-twitter,Argentina,es,~250k X followers,https://x.com/MarianoClossOK,(via ESPN AR press),Commentator,"Mariano Closs ESPN AR commentator","Follower count from X; Disney",@MarianoClossOK
Marca AS Combined Spanish Newsletter Network,newsletter,Spain,es,~500k subscribers,https://www.marca.com/newsletters/,internet@marca.com,Producer,"Combined Marca + AS newsletter reach across Spain","Estimate from Unidad Editorial + PRISA; subscription + ad",@marca
Le Petit Lucarne,podcast,France,fr,~50k weekly downloads,https://www.spotify.com/,(via Spotify),Producer,"French football culture pod",,@LePetitLucarne
RMC Pied Carre,podcast,France,fr,~100k weekly downloads,https://rmc.bfmtv.com/,(via RMC press),Producer,"RMC Sport weekend pod",,@RMCsport
Rothen s'enflamme,podcast,France,fr,~400k weekly listens,https://rmc.bfmtv.com/emission/rothen-s-enflamme/,(via RMC press),Producer,"Jerome Rothen daily football show; massive French audience","Estimate from Mediametrie; Altice; ad",@JeromeRothen
Andre Onana Newsletter,substack,France,fr,~10k subscribers,https://substack.com/,(via Substack profile),Author,"French football tactical newsletter","Estimate from Substack; subscription",@frfootball
Sport Bild,traditional-newspaper,Germany,de,~10M monthly visits,https://sportbild.bild.de/,sport@bild.de,Editor,"Bild's Sport Bild weekly + digital","SimilarWeb DE; Axel Springer; subscription + ad",@SPORTBILD
Christoph Kramer Stadion Newsletter,substack,Germany,de,~15k subscribers,https://substack.com/,(via Substack profile),Author,"German football tactical newsletter","Estimate from Substack; subscription",@stadionnews
Frank Hellmann FAZ,social-twitter,Germany,de,~50k X followers,https://x.com/HellmannFrank,sport@faz.net,Senior Reporter,"FAZ senior football writer","Follower count from X; FAZ; subscription",@HellmannFrank
Marcus Bark NDR,social-twitter,Germany,de,~40k X followers,https://x.com/MarcusBark,(via NDR press),Reporter,"NDR football reporter","Follower count from X; ARD; public-service",@MarcusBark
Voetbalprimeur,traditional-newspaper,Netherlands,nl,~20M monthly visits,https://www.voetbalprimeur.nl/,redactie@voetbalprimeur.nl,Editor,"Dutch football news site","SimilarWeb NL; Footballco; ad",@voetbalprimeur
Soccer NZ,blog,NZ,en,~50k monthly visits,https://www.soccernz.co.nz/,info@soccernz.co.nz,Editor,"NZ football-focused independent site","Estimate from publisher; independent; ad",@SoccerNZ
The Niche Cache,blog,NZ,en,~30k monthly visits,https://www.thenichecache.com/,(via site),Editor,"NZ sport including football coverage","Estimate from publisher; independent; ad + Patreon",@nichecache
NZME Sport Newsletter,newsletter,NZ,en,~30k subscribers,https://www.nzherald.co.nz/newsletters,sport@nzherald.co.nz,Producer,"NZ Herald daily sport newsletter","Estimate from NZME; subscription + ad",@nzherald
